analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
2011-09-01T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-02T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-03T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-04T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-05T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-06T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-07T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-08T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-09T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-10T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-11T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-09-12T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-15T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-16T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-18T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-19T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-20T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-21T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-22T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-23T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-24T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-25T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-26T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-27T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-28T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-29T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
2011-04-30T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100,4500514,BATTLEMENT DITCH,4500514,BATTLEMENT DITCH
