analysisWdid,locationWdid,sum_wtd_count
3703756,5300584,27.333
3703756,7200645,41.282000000000004
3703757,5300584,27.333
3703757,7200645,41.282000000000004
3703759,5300584,27.333
3703759,7200645,41.282000000000004
3703760,5300584,27.333
3703760,7200645,41.282000000000004
3703765,5300584,27.333
3703765,7200645,41.282000000000004
3703769,5300584,27.333
3703769,7200645,41.282000000000004
3703770,5300584,27.333
3703770,7200645,41.282000000000004
3703771,5300584,27.333
3703771,7200645,41.282000000000004
3703774,5300584,27.333
3703774,7200645,41.282000000000004
3703778,5300584,27.333
3703778,7200645,41.282000000000004
3703781,5300584,27.333
3703781,7200645,41.282000000000004
3703782,5300584,27.333
3703782,7200645,41.282000000000004
3703783,5300584,27.333
3703783,7200645,41.282000000000004
3703785,5300584,27.333
3703785,7200645,41.282000000000004
3703786,5300584,27.333
3703786,7200645,41.282000000000004
3703788,5300584,27.333
3703788,7200645,41.282000000000004
3703789,5300584,27.333
3703789,7200645,41.282000000000004
3703792,5300584,27.333
3703792,7200645,41.282000000000004
3703793,5300584,27.333
3703793,7200645,41.282000000000004
3703795,5300584,27.333
3703795,7200645,41.282000000000004
3703796,5300584,27.333
3703796,7200645,41.282000000000004
3703797,5300584,27.333
3703797,7200645,41.282000000000004
3703798,5300584,27.333
3703798,7200645,41.282000000000004
3703799,5300584,27.333
3703799,7200645,41.282000000000004
3703801,5300584,27.333
3703801,7200645,41.282000000000004
3703802,5300584,27.333
3703802,7200645,41.282000000000004
3703803,5300584,27.333
3703803,7200645,41.282000000000004
3703804,5300584,27.333
3703804,7200645,41.282000000000004
3703805,5300584,27.333
3703805,7200645,41.282000000000004
3703807,5300584,27.333
3703807,7200645,41.282000000000004
3703808,5300584,27.333
3703808,7200645,41.282000000000004
3703809,5300584,27.333
3703809,7200645,41.282000000000004
3703811,5300584,27.333
3703811,7200645,41.282000000000004
3703813,5300584,27.333
3703813,7200645,41.282000000000004
3703814,5300584,17.333
3703814,7200645,34.115
3703816,5300584,27.333
3703816,7200645,41.282000000000004
3703817,5300584,27.333
3703817,7200645,41.282000000000004
3703818,5300584,27.333
3703818,7200645,41.282000000000004
3703820,5300584,27.333
3703820,7200645,41.282000000000004
3703822,5300584,27.333
3703822,7200645,41.282000000000004
3703825,5300584,27.333
3703825,7200645,41.282000000000004
3703829,5300584,27.333
3703829,7200645,41.282000000000004
3703830,5300584,27.333
3703830,7200645,41.282000000000004
3703833,5300584,27.333
3703833,7200645,41.282000000000004
3703836,5300584,27.333
3703836,7200645,41.282000000000004
3703838,5300584,27.333
3703838,7200645,41.282000000000004
3703840,5300584,27.333
3703840,7200645,41.282000000000004
3703842,5300584,17.333
3703843,5300584,27.333
3703843,7200645,41.282000000000004
3703847,5300584,27.333
3703847,7200645,41.282000000000004
3703851,5300584,27.333
3703851,7200645,41.282000000000004
3703855,5300584,27.333
3703855,7200645,41.282000000000004
3703856,5300584,27.333
3703856,7200645,41.282000000000004
3703858,5300584,17.333
3703858,7200645,34.115
3703859,5300584,27.333
3703859,7200645,41.282000000000004
3703863,5300584,27.333
3703863,7200645,41.282000000000004
3703877,5300584,27.333
3703877,7200645,41.282000000000004
3703878,5300584,27.333
3703878,7200645,41.282000000000004
3703879,5300584,27.333
3703879,7200645,41.282000000000004
3703880,5300584,27.333
3703880,7200645,41.282000000000004
3703882,5300584,27.333
3703882,7200645,41.282000000000004
3703883,5300584,27.333
3703883,7200645,41.282000000000004
3703884,5300584,27.333
3703884,7200645,41.282000000000004
3703889,5300584,27.333
3703889,7200645,41.282000000000004
3703891,5300584,27.333
3703891,7200645,41.282000000000004
3703892,5300584,27.333
3703892,7200645,41.282000000000004
3703893,5300584,27.333
3703893,7200645,41.282000000000004
3703894,5300584,27.333
3703894,7200645,41.282000000000004
3703898,5300584,27.333
3703898,7200645,41.282000000000004
3703899,5300584,27.333
3703899,7200645,41.282000000000004
3703900,5300584,27.333
3703900,7200645,41.282000000000004
3703901,5300584,27.333
3703901,7200645,41.282000000000004
3703902,5300584,27.333
3703902,7200645,41.282000000000004
3703903,5300584,27.333
3703903,7200645,41.282000000000004
3703904,5300584,27.333
3703904,7200645,41.282000000000004
3703905,5300584,27.333
3703905,7200645,41.282000000000004
3703906,5300584,27.333
3703906,7200645,41.282000000000004
3703907,5300584,27.333
3703907,7200645,41.282000000000004
3703908,5300584,27.333
3703908,7200645,41.282000000000004
3703909,5300584,27.333
3703909,7200645,41.282000000000004
3703910,5300584,27.333
3703910,7200645,41.282000000000004
3703911,5300584,27.333
3703911,7200645,41.282000000000004
3703913,5300584,27.333
3703913,7200645,41.282000000000004
3703914,5300584,27.333
3703914,7200645,41.282000000000004
3703924,5300584,27.333
3703924,7200645,41.282000000000004
3703925,5300584,27.333
3703925,7200645,41.282000000000004
3703926,5300584,27.333
3703926,7200645,41.282000000000004
3703927,5300584,27.333
3703927,7200645,41.282000000000004
3703930,5300584,27.333
3703930,7200645,41.282000000000004
3703931,5300584,27.333
3703931,7200645,41.282000000000004
3703934,5300584,27.333
3703934,7200645,41.282000000000004
3703935,5300584,27.333
3703935,7200645,41.282000000000004
3703936,5300584,27.333
3703936,7200645,41.282000000000004
3703937,5300584,27.333
3703937,7200645,41.282000000000004
3703938,5300584,27.333
3703938,7200645,41.282000000000004
3703939,5300584,27.333
3703939,7200645,41.282000000000004
3703943,5300584,27.333
3703943,7200645,41.282000000000004
3703944,5300584,27.333
