,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
9295,1999-03-25T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9296,1999-03-26T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9297,1999-03-27T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9298,1999-03-28T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9299,1999-03-29T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9300,1999-03-30T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9301,1999-03-31T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9302,1999-04-01T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9303,1999-04-02T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9304,1999-04-03T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9305,1999-04-04T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9306,1999-04-05T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9307,1999-04-06T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9308,1999-04-07T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9309,1999-04-08T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9310,1999-04-09T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9311,1999-04-10T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9312,1999-04-11T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9313,1999-04-12T00:00:00.0000000,5303983,MCCOY RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9314,1999-04-12T00:00:00.0000000,5303983,MCCOY RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9315,1999-04-13T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9316,1999-04-14T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9317,1999-04-15T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9318,1999-04-16T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9319,1999-04-17T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9320,1999-04-18T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9321,1999-04-19T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9322,1999-04-20T00:00:00.0000000,5303983,MCCOY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9323,1999-04-21T00:00:00.0000000,5303983,MCCOY RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9324,1999-01-01T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9325,1999-01-02T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9326,1999-01-03T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9327,1999-01-04T00:00:00.0000000,3703838,FROST RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9328,1999-03-22T00:00:00.0000000,3703838,FROST RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9329,1999-03-23T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9330,1999-03-24T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9331,1999-03-25T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9332,1999-03-26T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9333,1999-03-27T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9334,1999-03-28T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9335,1999-03-29T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9336,1999-03-30T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9337,1999-03-31T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9338,1999-04-01T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9339,1999-04-02T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9340,1999-04-03T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9341,1999-04-04T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9342,1999-04-05T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9343,1999-04-06T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9344,1999-04-07T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9345,1999-04-08T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9346,1999-04-09T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9347,1999-04-10T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9348,1999-04-11T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9349,1999-04-12T00:00:00.0000000,3703838,FROST RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9350,1999-04-12T00:00:00.0000000,3703838,FROST RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9351,1999-04-13T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9352,1999-04-14T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9353,1999-04-15T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9354,1999-04-16T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9355,1999-04-17T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9356,1999-04-18T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9357,1999-04-19T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9358,1999-04-20T00:00:00.0000000,3703838,FROST RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9359,1999-04-21T00:00:00.0000000,3703838,FROST RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9360,1999-01-01T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9361,1999-01-02T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9362,1999-01-03T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9363,1999-01-04T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9364,1999-03-22T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9365,1999-03-23T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9366,1999-03-24T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9367,1999-03-25T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9368,1999-03-26T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9369,1999-03-27T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9370,1999-03-28T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9371,1999-03-29T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9372,1999-03-30T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9373,1999-03-31T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9374,1999-04-01T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9375,1999-04-02T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9376,1999-04-03T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9377,1999-04-04T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9378,1999-04-05T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9379,1999-04-06T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9380,1999-04-07T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9381,1999-04-08T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9382,1999-04-09T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9383,1999-04-10T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9384,1999-04-11T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9385,1999-04-12T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9386,1999-04-12T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9387,1999-04-13T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9388,1999-04-14T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9389,1999-04-15T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9390,1999-04-16T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9391,1999-04-17T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9392,1999-04-18T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9393,1999-04-19T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9394,1999-04-20T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9395,1999-04-21T00:00:00.0000000,3703882,USAWMILL GUL RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9396,1999-01-01T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9397,1999-01-02T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9398,1999-01-03T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9399,1999-01-04T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9400,1999-03-22T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9401,1999-03-23T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9402,1999-03-24T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9403,1999-03-25T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9404,1999-03-26T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9405,1999-03-27T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9406,1999-03-28T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9407,1999-03-29T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9408,1999-03-30T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9409,1999-03-31T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9410,1999-04-01T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9411,1999-04-02T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9412,1999-04-03T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9413,1999-04-04T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9414,1999-04-05T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9415,1999-04-06T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9416,1999-04-07T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9417,1999-04-08T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9418,1999-04-09T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9419,1999-04-10T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9420,1999-04-11T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9421,1999-04-12T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9422,1999-04-12T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9423,1999-04-13T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9424,1999-04-14T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9425,1999-04-15T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9426,1999-04-16T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9427,1999-04-17T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9428,1999-04-18T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9429,1999-04-19T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9430,1999-04-20T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9431,1999-04-21T00:00:00.0000000,3703884,W THIRD GUL RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9432,1999-01-01T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9433,1999-01-02T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9434,1999-01-03T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9435,1999-01-04T00:00:00.0000000,5303978,KELLY RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9436,1999-03-22T00:00:00.0000000,5303978,KELLY RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9437,1999-03-23T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9438,1999-03-24T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9439,1999-03-25T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9440,1999-03-26T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9441,1999-03-27T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9442,1999-03-28T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9443,1999-03-29T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9444,1999-03-30T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9445,1999-03-31T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9446,1999-04-01T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9447,1999-04-02T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9448,1999-04-03T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9449,1999-04-04T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9450,1999-04-05T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9451,1999-04-06T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9452,1999-04-07T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9453,1999-04-08T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9454,1999-04-09T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9455,1999-04-10T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9456,1999-04-11T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9457,1999-04-12T00:00:00.0000000,5303978,KELLY RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9458,1999-04-12T00:00:00.0000000,5303978,KELLY RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9459,1999-04-13T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9460,1999-04-14T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9461,1999-04-15T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9462,1999-04-16T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9463,1999-04-17T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9464,1999-04-18T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9465,1999-04-19T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9466,1999-04-20T00:00:00.0000000,5303978,KELLY RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9467,1999-04-21T00:00:00.0000000,5303978,KELLY RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9468,1999-01-01T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9469,1999-01-02T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9470,1999-01-03T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9471,1999-01-04T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9472,1999-03-22T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9473,1999-03-23T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9474,1999-03-24T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9475,1999-03-25T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9476,1999-03-26T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9477,1999-03-27T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9478,1999-03-28T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9479,1999-03-29T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9480,1999-03-30T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9481,1999-03-31T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9482,1999-04-01T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9483,1999-04-02T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9484,1999-04-03T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9485,1999-04-04T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9486,1999-04-05T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9487,1999-04-06T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9488,1999-04-07T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9489,1999-04-08T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9490,1999-04-09T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9491,1999-04-10T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9492,1999-04-11T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9493,1999-04-12T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9494,1999-04-12T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9495,1999-04-13T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9496,1999-04-14T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9497,1999-04-15T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9498,1999-04-16T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9499,1999-04-17T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9500,1999-04-18T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9501,1999-04-19T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9502,1999-04-20T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9503,1999-04-21T00:00:00.0000000,3703813,BIG PARKS RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9504,1999-01-01T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9505,1999-01-02T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9506,1999-01-03T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9507,1999-01-04T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT
9508,1999-03-22T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,66.7,5300584,SHOSHONE POWER PLANT
9509,1999-03-23T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9510,1999-03-24T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9511,1999-03-25T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9512,1999-03-26T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9513,1999-03-27T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9514,1999-03-28T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9515,1999-03-29T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9516,1999-03-30T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9517,1999-03-31T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9518,1999-04-01T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9519,1999-04-02T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9520,1999-04-03T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9521,1999-04-04T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
9522,1999-04-05T00:00:00.0000000,5104013,DOE CREEK RESERVOIR,100.0,5300584,SHOSHONE POWER PLANT
