,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1694,2011-04-20T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1695,2011-04-21T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1696,2011-04-22T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1697,2011-04-23T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1698,2011-04-24T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1699,2011-04-25T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1700,2011-04-26T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1701,2011-04-27T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1702,2011-04-28T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1703,2011-04-29T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1704,2011-04-30T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1705,2011-05-01T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1706,2011-05-02T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1707,2011-05-03T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1708,2011-05-04T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1709,2011-05-05T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1710,2011-05-06T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1711,2011-05-07T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1712,2011-05-08T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500514,BATTLEMENT DITCH
1713,2011-05-08T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500570,DOBEY DITCH
1714,2011-05-09T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1715,2011-05-10T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500570,DOBEY DITCH
1716,2011-05-10T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500570,DOBEY DITCH
1717,2011-05-11T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1718,2011-05-12T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1719,2011-05-13T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1720,2011-05-14T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1721,2011-05-15T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1722,2011-05-16T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500570,DOBEY DITCH
1723,2011-05-16T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500570,DOBEY DITCH
1724,2011-05-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500570,DOBEY DITCH
1725,2011-05-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500706,MUSCONETCONG DITCH
1726,2011-05-18T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500706,MUSCONETCONG DITCH
1727,2011-05-19T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500706,MUSCONETCONG DITCH
1728,2011-05-20T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500706,MUSCONETCONG DITCH
1729,2011-05-20T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500570,DOBEY DITCH
1730,2011-05-21T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1731,2011-05-22T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500732,R F DITCH
1732,2011-05-22T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500570,DOBEY DITCH
1733,2011-05-23T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500732,R F DITCH
1734,2011-05-23T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500706,MUSCONETCONG DITCH
1735,2011-05-24T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500706,MUSCONETCONG DITCH
1736,2011-05-25T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500706,MUSCONETCONG DITCH
1737,2011-05-25T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500706,MUSCONETCONG DITCH
1738,2011-05-26T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500706,MUSCONETCONG DITCH
1739,2011-05-26T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH
1740,2011-05-27T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1741,2011-05-28T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH
1742,2011-05-28T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500514,BATTLEMENT DITCH
1743,2011-05-29T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1744,2011-05-30T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500514,BATTLEMENT DITCH
1750,2011-07-11T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH
1751,2011-07-12T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1752,2011-07-13T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1753,2011-07-14T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500514,BATTLEMENT DITCH
1754,2011-07-14T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH
