wdid,structureName,structureType,waterSource,streamMile,division,waterDistrict,subdistrict,county,designatedBasinName,managementDistrictName,latdecdeg,longdecdeg
3905079,DEN-ORCHARD WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.574406,-107.484852
3905080,DEVER WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.561173,-107.386857
3905081,DEVER WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.561567,-107.384356
3905082,DEVER WELL NO 3,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.562657,-107.382159
3905083,DIEMOZ WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.554204,-107.623142
3905084,DIEMOZ WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.565818,-107.668721
3905085,DIEMOZ WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.572176,-107.673314
3905086,DOW WELL W W 1-1-R,WELL,GROUNDWATER: PARACHUTE CREEK,,5,39,,GARFIELD,,,39.637696,-108.118096
3905087,DOW WELL W W 1-2,WELL,GROUNDWATER: PARACHUTE CREEK,,5,39,,GARFIELD,,,39.643679,-108.121068
3905088,DOW WELL W W 6-2,WELL,GROUNDWATER: PARACHUTE CREEK,,5,39,,GARFIELD,,,39.637517,-108.098212
3905089,DUNN RESIDENCE WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.550083,-107.697919
3905090,EASTVIEW PARK WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.542588,-107.740855
3905091,EASTVIEW PARK WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.542588,-107.740855
3905092,EASTVIEW PARK WELL NO 3,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.542588,-107.740855
3905093,EASTVIEW PARK WELL NO 4,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.542588,-107.740855
3905094,ELLER WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.581193,-107.679587
3905095,ELLIS WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.395457,-108.098239
3905096,EMMER WELL NO 1,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.58871,-107.767747
3905097,EMMER WELL NO 2,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.589561,-107.76494
3905098,F DELANEY WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.560175,-107.554071
3905099,FERRIN SPRING NO 1,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905100,FERRIN SPRING NO 2,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905101,FERRIN SPRING NO 3,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905102,FERRIN SPRING NO 4,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905103,FERRIN SPRING NO 5,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905104,FERRIN SPRING NO 6,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905105,FERRIN SPRING NO 7,SPRING,EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.630595,-107.673052
3905106,FERRIN SPRING NO 1,SPRING,EAST ELK CREEK,,5,39,,GARFIELD,,,39.61304,-107.537794
3905107,FERRIN SPRING NO 2,SPRING,EAST ELK CREEK,,5,39,,GARFIELD,,,39.61304,-107.537794
3905108,FLORA DERE WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.47847,-107.96998
3905109,FOREMAN SPRINGS,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.569522,-107.64018
3905110,GEORGE WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.542758,-107.711885
3905111,GEORGE WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.550083,-107.697919
3905112,GIULIANI WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.554169,-107.627797
3905113,GLENN ANDERSON WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.544347,-107.730703
3905114,GOODALE WELL,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.533126,-107.7949
3905115,GOODSELL WELL NO 1,WELL,GROUNDWATER: CANYON CREEK,,5,39,,GARFIELD,,,39.577473,-107.449071
3905116,GREEN DIAMOND WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.546885,-107.64627
3905117,GREEN WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.544864,-107.735901
3905118,GREEN WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.557113,-107.731647
3905119,GREGORY WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.554644,-107.59064
3905120,GRIFFIN SPRING NO 1,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.564304,-107.722874
3905121,GRIFFIN SPRING NO 2,SPRING,COLORADO RIVER,,5,39,,GARFIELD,,,39.565657,-107.720691
3905122,HADACHEK WELL,WELL,GROUNDWATER: HARVEY GAP,,5,39,,GARFIELD,,,39.580099,-107.651919
3905123,HALLAR WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.547456,-107.644612
3905124,HAMMER WELL NO 1,WELL,GROUNDWATER: WEST ELK CREEK,,5,39,,GARFIELD,,,39.651825,-107.622345
3905125,HAMMER WELL NO 2,WELL,GROUNDWATER: WEST ELK CREEK,,5,39,,GARFIELD,,,39.655547,-107.621691
3905126,HANKS WELL NO 1,WELL,GROUNDWATER: WEST ELK CREEK,,5,39,,GARFIELD,,,39.585772,-107.553928
3905127,HAROLD WELL NO 1,WELL,GROUNDWATER: EAST RIFLE CREEK,,5,39,,GARFIELD,,,39.734625,-107.714108
