WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Latitude,Longitude,Lines
3804402,0.43,12/31/04,56247.56095,48787.2,39.208936,-106.853218,5386
3804403,0.75,12/31/04,56247.56095,11456.28,39.205125,-106.85094,5386
3804404,0.09,12/31/04,56247.56095,7623,39.213034,-106.850196,5386
3804405,0.41,12/31/04,56247.56095,5401.44,39.210049,-106.848461,5386
3804408,0.85,12/31/04,56247.56095,6141.96,39.20398,-106.84987,5386
3804410,0.57,12/31/04,56247.56095,7862.58,39.207385,-106.851076,5386
3804411,0.54,12/31/04,56247.56095,7862.58,39.208055,-106.850853,5386
3804414,0.29,12/31/04,56247.56095,3963.96,39.21118,-106.849011,5386
3704021,1.41,12/31/04,56247.55799,11325.6,39.666354,-106.628147,5386
3704022,1.28,12/31/04,56247.55799,9583.2,39.664178,-106.628572,5386
5003681,1.08,12/31/04,56247.5579,261360,40.114916,-106.501756,5386
5003683,1.24,12/31/04,56247.5579,21780,40.113581,-106.503969,5386
3804316,23.05,12/31/04,56247.55745,13068,39.133565,-107.262437,5386
3804158,1.14,12/31/04,56247.55497,13503.6,39.242155,-106.842505,5386
5303589,8.27,12/31/04,56247.55457,435600,39.992471,-106.933563,5386
5303590,8.12,12/31/04,56247.55457,72745.2,39.982824,-106.936125,5386
5303595,3.18,12/31/04,56247.54269,1581228,40.04494,-106.814264,5386
3703659,8.32,12/31/04,56247.53959,108900,39.80576,-106.719003,5386
3603693,22.3,12/31/04,56247.53922,174240,39.839124,-106.233491,5386
7203735,14.8,12/31/04,56247.53592,24393.6,39.187998,-108.073791,5386
3903586,2.73,12/31/04,56247.47848,81457.2,39.608649,-107.459476,5386
3903587,2.73,12/31/04,56247.47848,112384.8,39.607988,-107.459392,5386
3903588,2.73,12/31/04,56247.47848,36154.8,39.6083,-107.460631,5386
3903589,2.73,12/31/04,56247.47848,84070.8,39.607868,-107.460067,5386
3903590,2.7,12/31/04,56247.47848,43560,39.605617,-107.457317,5386
3903591,2.7,12/31/04,56247.47848,65340,39.605226,-107.456807,5386
3903592,2.7,12/31/04,56247.47848,87120,39.604725,-107.456331,5386
3803573,25.87,12/31/04,56247.44712,17424,39.383232,-107.012125,5386
7203731,3.1,12/31/04,56247.44194,140263.2,39.255645,-107.606212,5386
3803727,24.62,12/31/04,56247.38958,4007520,39.341935,-106.632291,5386
7203711,1.4,12/31/03,56156,130680,39.241391,-108.883853,5752
3603644,0.55,12/31/03,56063,11325.6,39.713305,-106.102769,5752
3603645,0.52,12/31/03,56063,23522.4,39.713679,-106.10346,5752
7003508,5,12/31/01,56037,87120,39.558094,-108.42533,6482
5304011,15.66,12/31/03,55973,50,40.054684,-106.821381,5752
