wdid,structureName,streamMile,latitude,longitude,adminNumber,netAbsolute
7200643,GOLDEN AGE DITCH,5.32,39.179755,-107.951017,30895.14745,0.912
7200643,GOLDEN AGE DITCH,5.32,39.179755,-107.951017,30895.23861,1.17
7200643,GOLDEN AGE DITCH,5.32,39.179755,-107.951017,32811,3.14
7200643,GOLDEN AGE DITCH,5.32,39.179755,-107.951017,34803,1.2
7200644,GRAND JCT COLO R PL,56.24,39.127624,-108.325973,35476,23.38
7200645,GRAND VALLEY CANAL,53.09,39.101364,-108.350229,22729.11922,520.81
7200645,GRAND VALLEY CANAL,53.09,39.101364,-108.350229,30895.11922,300
7200645,GRAND VALLEY CANAL,53.09,39.101364,-108.350229,30895.23491,119.47
7200645,GRAND VALLEY CANAL,53.09,39.101364,-108.350229,35476,0
7200645,GRAND VALLEY CANAL,53.09,39.101364,-108.350229,35504,0
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,22729.14519,80
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,22729.18536,10.2
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,22729.19544,0
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,22729.21116,450
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,22729.21241,730
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,30895.21241,1020
7200646,GRAND VALLEY PROJECT,61.8,39.188803,-108.282626,30895.24988,23.5
7200647,GRAPEVINE DITCH,0.85,39.131525,-108.309178,12797,1.44
7200647,GRAPEVINE DITCH,0.85,39.131525,-108.309178,25210.20939,2
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,13030,2.13
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,14149,5.4
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,14149,0.36
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,30895.16718,1
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,30895.23515,2.6
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,30895.24246,2.6
7200649,GROVE CR DITCH CO NO 1 D,6.43,39.185197,-107.90404,34419.27528,3.41
7200650,GULCH DITCH (CARTER CR),15.35,39.272525,-107.770764,22995.17667,0.18
7200650,GULCH DITCH (CARTER CR),15.35,39.272525,-107.770764,30895.24592,0.27
7200650,GULCH DITCH (CARTER CR),15.35,39.272525,-107.770764,32811,0.2
7200652,GUNDERSON CARTER DITCH,16.59,39.274641,-107.756034,18749.14392,1.55
7200652,GUNDERSON CARTER DITCH,16.59,39.274641,-107.756034,22995.14392,3.49
7200652,GUNDERSON CARTER DITCH,16.59,39.274641,-107.756034,22995.17653,2.16
7200652,GUNDERSON CARTER DITCH,16.59,39.274641,-107.756034,30895.26449,0.52
7200652,GUNDERSON CARTER DITCH,16.59,39.274641,-107.756034,34419.25688,4.36
7200653,GEORGE GUNDERSON LUNVAL,11.92,39.273867,-107.802378,22995.16923,0.5
7200653,GEORGE GUNDERSON LUNVAL,11.92,39.273867,-107.802378,54421.35428,1
7200654,JORGEN GUNDERSON DITCH,14.29,39.269918,-107.780003,22995.16724,0.72
7200654,JORGEN GUNDERSON DITCH,14.29,39.269918,-107.780003,34419.29354,0.28
7200654,JORGEN GUNDERSON DITCH,14.29,39.269918,-107.780003,34419.33443,0.53
