wdid,streamMile,adminNumber,netAbsolute,lat,long,sum_netAbs
5204030,1.09,56613.55152000001,31363.2,39.599416,-107.134409,31363.2
3803574,35.59,56613.54908,8537.76,39.290795,-106.907005,8537.76
3803576,0.08,56613.54908,24785.64,39.290811,-106.90663,24785.64
3803595,35.61,56613.54908,3615.48,39.28918,-106.908046,3615.48
3803596,35.67,56613.54908,12806.64,39.288903999999995,-106.90740600000001,12806.64
3803616,36.05,56613.54908,3005.64,39.286161,-106.90179199999999,3005.64
3803617,36.08,56613.54908,2395.8,39.285907,-106.900957,2395.8
3803618,36.1,56613.54908,4660.92,39.285605,-106.900706,4660.92
3803630,36.13,56613.54908,2613.6,39.285115999999995,-106.900034,2613.6
3803631,36.19,56613.54908,3267.0,39.2845,-106.899395,3267.0
3803646,36.43,56613.54908,5924.16,39.28163,-106.896697,5924.16
3803649,36.79,56613.54908,1306.8,39.278944,-106.892481,1306.8
3803695,35.56,56613.54908,4922.28,39.290733,-106.90765800000001,4922.28
3903956,3.96,56613.54877,1346004.0,39.472796,-108.085283,1346004.0
5204031,1.74,56613.54786,67953.6,39.596146000000005,-107.116871,67953.6
7203733,29.12,56613.54019,71438.4,39.102317,-108.696161,71438.4
3603539,1.31,56613.53112000001,65340.0,39.798451,-106.21083200000001,65340.0
5103587,1.46,56613.514070000005,5662.8,39.999798999999996,-105.773328,5662.8
7203739,35.39,56613.51224,6969.6,39.135728,-108.57446999999999,6969.6
3803612,35.72,56613.510089999996,174065.76,39.28861,-106.906129,174065.76
3803613,35.81,56613.510089999996,35457.84,39.287742,-106.90474499999999,35457.84
3803614,35.84,56613.510089999996,57717.0,39.287490000000005,-106.90416699999999,57717.0
3803615,35.97,56613.510089999996,13634.28,39.286984999999994,-106.90348300000001,13634.28
3803647,36.59,56613.5061,740.52,39.280996,-106.89562600000001,740.52
3803648,36.59,56613.5061,1437.48,39.280918,-106.895508,1437.48
5103575,1.49,56613.49884,8712.0,39.999699,-105.77167,8712.0
5304059,8.86,56613.46751,178596.0,39.773033,-107.16190300000001,178596.0
3803571,0.25,56613.40877,65340.0,39.379752,-106.942349,65340.0
3704033,0.85,56599.0,6054.84,39.637621,-106.94946100000001,6054.84
3704034,0.95,56599.0,42035.4,39.637075,-106.950027,42035.4
3704035,1.19,56599.0,42035.4,39.635573,-106.950093,42035.4
3704036,1.2,56599.0,42035.4,39.635208,-106.950198,42035.4
3704037,1.19,56599.0,2178.0,39.635914,-106.950056,2178.0
3704038,1.41,56599.0,871.2,39.633792,-106.953201,871.2
3704039,1.78,56599.0,7535.88,39.628428,-106.95388600000001,7535.88
3704040,1.84,56599.0,9844.56,39.62792,-106.95441399999999,9844.56
3704041,2.17,56599.0,26832.96,39.627365000000005,-106.95493300000001,26832.96
3704042,1.83,56599.0,6359.76,39.627694,-106.953092,6359.76
3704043,2.17,56599.0,2003.76,39.627208,-106.953702,2003.76
3704044,1.77,56599.0,8102.16,39.629913,-106.954885,8102.16
3709120,3.44,56599.0,390515.4,39.614094,-106.96366599999999,390515.4
3817084,50.61,56564.0,80150.4,39.148513,-106.783148,80150.4
3804365,44.61,56534.0,1306.8,39.19763,-106.82089599999999,1306.8
3804366,44.63,56534.0,666.4680000000001,39.197542999999996,-106.820431,666.4680000000001
3703995,2.12,56461.0,53143.2,39.601008,-106.61476299999998,53143.2
7203724,6.81,56444.0,21780.0,39.281893,-108.864397,21780.0
3804364,1.7,56400.0,38071.44,39.269049,-106.86691299999998,38071.44
5103506,3.75,56368.0,530560.8,39.988434000000005,-106.248558,530560.8
5103508,4.09,56368.0,850726.8,39.98607,-106.254915,850726.8
3704015,2.12,56247.5621,16727.04,39.618687,-106.608744,16727.04
3704016,2.12,56247.5621,1306.8,39.618772,-106.60893700000001,1306.8
3704017,2.12,56247.5621,148539.6,39.621091,-106.609078,148539.6
