analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
2016-08-15T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,58.3,5,CALL,2016-08-15T10:00:00.0000000,2016-08-17T09:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-16T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-15T10:00:00.0000000,2016-08-17T09:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-17T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,39.6,5,CALL,2016-08-15T10:00:00.0000000,2016-08-17T09:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200858,ROSA DITCH,18749.14913,0,1901-05-02T00:00:00.0000000,,,,,
2016-08-17T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,60.4,5,CALL,2016-08-17T09:30:00.0000000,2016-08-20T06:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200744,LEON DITCH,18749.14773,0,1901-05-02T00:00:00.0000000,2,,,,
2016-08-18T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-17T09:30:00.0000000,2016-08-20T06:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200744,LEON DITCH,18749.14773,0,1901-05-02T00:00:00.0000000,2,,,,
2016-08-19T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-17T09:30:00.0000000,2016-08-20T06:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200744,LEON DITCH,18749.14773,0,1901-05-02T00:00:00.0000000,2,,,,
2016-08-20T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,27.1,5,CALL,2016-08-17T09:30:00.0000000,2016-08-20T06:30:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200744,LEON DITCH,18749.14773,0,1901-05-02T00:00:00.0000000,2,,,,
2016-08-20T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,72.9,5,CALL,2016-08-20T06:30:00.0000000,2016-08-23T08:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
2016-08-21T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-20T06:30:00.0000000,2016-08-23T08:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
2016-08-22T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-08-20T06:30:00.0000000,2016-08-23T08:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200628,GALBRAITH DITCH,18749.14411,0,1901-05-02T00:00:00.0000000,119,,,,
