analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
54421.13971,20427.18999,559157068.8000001,37.52,4509331.2,3703600,147.54,1250.0,5300584
50038.49551,20427.18999,691384320.0,5.95,5575680.0,5303966,147.54,1250.0,5300584
53543.0,20427.18999,16204320.0,32.36,130680.0,3703909,147.54,1250.0,5300584
20427.20179,20427.18999,216759787.20000002,5.26,1748062.8,3703524,147.54,1250.0,5300584
32075.23878,20427.18999,1736.0,3.5,14.0,3600645,147.54,1250.0,5300584
45290.3628,20427.18999,22145904.0,0.18,178596.0,3603579,147.54,1250.0,5300584
46594.0,20427.18999,2728.0,0.01,22.0,3702056,147.54,1250.0,5300584
57193.0,20427.18999,129634.56000000001,31.15,1045.44,3704024,147.54,1250.0,5300584
50403.50233,20427.18999,13503600.0,2.27,108900.0,3603628,147.54,1250.0,5300584
49490.0,20427.18999,10802880.0,30.13,87120.0,5003659,147.54,1250.0,5300584
57249.0,20427.18999,615764.16,1.42,4965.84,3703596,147.54,1250.0,5300584
50769.47664,20427.18999,49801276.800000004,1.51,401623.2,5303955,147.54,1250.0,5300584
46593.0,20427.18999,1488.0,11.69,12.0,3702043,147.54,1250.0,5300584
57340.0,20427.18999,39430512.0,9.57,317988.0,5003687,147.54,1250.0,5300584
38753.30942,20427.18999,140437440.0,3.0,1132560.0,5303963,147.54,1250.0,5300584
52000.0,20427.18999,24846624.0,3.61,200376.0,5304051,147.54,1250.0,5300584
57432.0,20427.18999,44237793.6,2.13,356756.4,3704046,147.54,1250.0,5300584
45290.45144,20427.18999,4540.88,3.57,36.62,3600709,147.54,1250.0,5300584
57513.0,20427.18999,81561744.0,4.73,657756.0,5003688,147.54,1250.0,5300584
34648.0,20427.18999,579844584.0,4.41,4676166.0,5003632,147.54,1250.0,5300584
46538.0,20427.18999,909324861.984,37.52,7333265.016,3703600,147.54,1250.0,5300584
41199.21147,20427.18999,2677871908.7999997,12.92,21595741.2,5303988,147.54,1250.0,5300584
51999.0,20427.18999,43211520.0,19.63,348480.0,3703748,147.54,1250.0,5300584
46506.0,20427.18999,5401440.0,1.42,43560.0,3703596,147.54,1250.0,5300584
