analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5300595,GRIMES BROOKS R INTAKE D,5300584,SHOSHONE POWER PLANT,163.5
5303509,JARNOT POND 2,5300584,SHOSHONE POWER PLANT,163.5
5300662,KEEP DITCH,5300584,SHOSHONE POWER PLANT,163.5
5300704,MIDDLE DERBY DITCH,5300584,SHOSHONE POWER PLANT,163.5
5300754,PIPELINE DITCH,5300584,SHOSHONE POWER PLANT,163.5
5300755,PJ MARTIN NO 2 DITCH,5300584,SHOSHONE POWER PLANT,163.5
5300920,OXBOW FISH CHANNEL,5300584,SHOSHONE POWER PLANT,163.5
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,163.5
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,163.5
5302027,MIN LAKE HANGING LAKE,5300584,SHOSHONE POWER PLANT,163.5
5303508,JARNOT POND 1,5300584,SHOSHONE POWER PLANT,163.5
5303641,CONTINENTAL DIVIDE POND,5300584,SHOSHONE POWER PLANT,163.5
5303960,CRESENT LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103535,MCCOY POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5303963,E M CURRY RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304025,TROUTVILLE POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
5304026,TROUTVILLE POND NO 4,5300584,SHOSHONE POWER PLANT,163.5
5304034,STEPHENS POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5304035,STEPHENS POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5304036,STEPHENS POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
5304042,LOWER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304043,UPPER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304044,RED DIRT POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5304045,RED DIRT POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5304046,RED DIRT POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
5304047,RUSSELL POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5304048,RUSSELL POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5304049,RUSSELL POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
5304050,RUSSELL POND NO 4,5300584,SHOSHONE POWER PLANT,163.5
5304052,CABIN POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5304053,CABIN POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5304054,CABIN POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
5304055,CLOVER POND,5300584,SHOSHONE POWER PLANT,163.5
5304056,TOWER POND,5300584,SHOSHONE POWER PLANT,163.5
5304057,WILBURS POND,5300584,SHOSHONE POWER PLANT,163.5
5304058,SHEEP CORRAL POND,5300584,SHOSHONE POWER PLANT,163.5
5304024,TROUTVILLE POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5304023,TROUTVILLE POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5304020,MACKINAW LAKE RES NO 2,5300584,SHOSHONE POWER PLANT,163.5
5303995,STERNER RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303969,HADLEY NO 2 RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303971,HEART LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303972,HIDDEN SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303978,KELLY RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303979,KING MOUNTAIN RES-UPPER,5300584,SHOSHONE POWER PLANT,163.5
5303983,MCCOY RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303988,NEWTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303989,NOBLE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303994,SAWMILL RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303996,STOUT RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304019,LYLE FISH POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5303998,TEPE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5303999,TONIER GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304002,TRAIL RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304004,WOHLER RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304011,HOLDEN RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5304013,GEORGE A GATES RES NO 1,5300584,SHOSHONE POWER PLANT,163.5
5304014,GEORGE A GATES RES NO 2,5300584,SHOSHONE POWER PLANT,163.5
5304015,HERRES POND,5300584,SHOSHONE POWER PLANT,163.5
5304017,JACK HILL RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204012,STEINRPI22 RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5204008,SOUTHFORK RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
