analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
4503742,SHERA POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.66,0.75,45,61.8,2313.7,72,4.250250000000002
5003648,LEWIS RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,10.0,5.66,93.24,50,0.85,550.0,51,932.4
4503531,LOCKARD RESERVOIR NO 2,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.7,22.67,45,61.8,2313.7,72,128.47089000000005
3803606,ARBANEY POND NO.1,3800516,ATKINSON DITCH,41.667,5.7,0.5,38,2.77,17.2,38,20.8335
3804124,MCCABE POND NO 11,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.71,0.03,38,61.8,2313.7,72,0.17001000000000008
3804124,MCCABE POND NO 11,3800858,MARTIN DITCH NO 1,13.0,5.71,0.03,38,3.76,1.33,38,0.39
4503544,LOUTHAN SPRINGS POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.73,1.5,45,61.8,2313.7,72,8.500500000000004
3903665,LOCKED ANTLERS POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.74,0.36,39,61.8,2313.7,72,2.040120000000001
5102039,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,133.0,5.74,57.0,51,147.54,1408.0,53,7581.0
5102039,MIN FLOW WILLIAMS FORK RIVER,5104655,MOFFAT WATER TUNNEL,3.0,5.74,57.0,51,25.36,928.0,51,171.0
3903665,LOCKED ANTLERS POND,3900672,THOMPKINS DITCH,1.0,5.74,0.36,39,0.0,21.0,39,0.36
5102039,MIN FLOW WILLIAMS FORK RIVER,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.74,57.0,51,0.85,550.0,51,285.0
3903665,LOCKED ANTLERS POND,3900656,RYDEN NO 1 DITCH,15.0,5.74,0.36,39,2.69,5.5,39,5.3999999999999995
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.76,11.0,51,0.85,550.0,51,55.0
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5300584,SHOSHONE POWER PLANT,133.0,5.76,11.0,51,147.54,1408.0,53,1463.0
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5104655,MOFFAT WATER TUNNEL,3.0,5.76,11.0,51,25.36,928.0,51,33.0
3804202,ROSE RANCH POND NO.5,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.77,18.26,38,61.8,2313.7,72,103.47942000000005
3601058,VIDLER TUNNEL UNIT HDGT D,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.77,28.46,36,0.85,550.0,51,142.3
3601058,VIDLER TUNNEL UNIT HDGT D,5104655,MOFFAT WATER TUNNEL,3.0,5.77,28.46,36,25.36,928.0,51,85.38
3601058,VIDLER TUNNEL UNIT HDGT D,5300584,SHOSHONE POWER PLANT,133.0,5.77,28.46,36,147.54,1408.0,53,3785.1800000000003
4503746,HOFFMEISTER POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.83,6.0,45,61.8,2313.7,72,34.00200000000002
7204029,PHYLCON POND NO 1,7200933,WEST SIDE DITCH,90.333,5.85,1.2,72,5.37,13.558,72,108.39959999999999
3703774,BLM BLUE LAKE NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.88,200.0,37,0.85,550.0,51,1000.0
3703774,BLM BLUE LAKE NO 1,5300584,SHOSHONE POWER PLANT,133.0,5.88,200.0,37,147.54,1408.0,53,26600.0
3703774,BLM BLUE LAKE NO 1,5104655,MOFFAT WATER TUNNEL,3.0,5.88,200.0,37,25.36,928.0,51,600.0
7203954,DONA RESERVOIR,7200831,PIONEER OF PLATEAU DITCH,68.667,5.9,1.3,72,3.08,14.799000000000001,72,89.2671
5003672,RAWALT STOCK RES NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.9,1.4,50,0.85,550.0,51,7.0
5003672,RAWALT STOCK RES NO 1,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,5.9,1.4,50,3.21,96.4,50,22.4
7203954,DONA RESERVOIR,7200895,STEWART DITCH (BULL CR),4.0,5.9,1.3,72,2.89,2.85,72,5.2
5003672,RAWALT STOCK RES NO 1,5300584,SHOSHONE POWER PLANT,133.0,5.9,1.4,50,147.54,1408.0,53,186.2
5003672,RAWALT STOCK RES NO 1,5104655,MOFFAT WATER TUNNEL,3.0,5.9,1.4,50,25.36,928.0,51,4.199999999999999
5100810,MUSGRAVE DITCH,5300584,SHOSHONE POWER PLANT,126.0,5.91,25.0,51,147.54,1408.0,53,3150.0
5103694,SCHOLL RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.93,321.8,51,0.85,550.0,51,1609.0
5103694,SCHOLL RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,5.93,321.8,51,25.36,928.0,51,965.4000000000001
3803511,STAINTON POND NO 7,3800516,ATKINSON DITCH,41.667,5.93,4.74,38,2.77,17.2,38,197.50158000000002
5103694,SCHOLL RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,5.93,321.8,51,147.54,1408.0,53,42799.4
5303966,GRIMES BROOKS RESERVOIR,5104655,MOFFAT WATER TUNNEL,9.0,5.95,554.06,53,25.36,928.0,51,4986.539999999999
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,392.0,5.95,554.06,53,147.54,1408.0,53,217191.52
5303966,GRIMES BROOKS RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,15.0,5.95,554.06,53,0.85,550.0,51,8310.9
4503549,ENGELHARDT POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.96,0.62,45,61.8,2313.7,72,3.5135400000000017
4503627,SUSAN STOCK WATER PONDS,4500768,SMITH AND NEVE DITCH,7.0,6.0,3.99,45,4.58,2.48,45,27.93
4503627,SUSAN STOCK WATER PONDS,4500533,BUFFALO DITCH,22.0,6.0,3.99,45,0.58,0.83,45,87.78
4503627,SUSAN STOCK WATER PONDS,4500629,HILL DITCH,3.0,6.0,3.99,45,3.66,2.5,45,11.97
4503627,SUSAN STOCK WATER PONDS,4500562,DAME DITCH,14.667,6.0,3.99,45,4.7,2.833,45,58.52133
4503627,SUSAN STOCK WATER PONDS,4500793,TAUGHENBAUGH DITCH,107.0,6.0,3.99,45,3.35,32.6,45,426.93
4503627,SUSAN STOCK WATER PONDS,4500766,SMITH DITCH,3.0,6.0,3.99,45,1.84,2.84,45,11.97
4503627,SUSAN STOCK WATER PONDS,4500641,J A CLARK DITCH,8.0,6.0,3.99,45,1.72,2.0,45,31.92
7204030,PHYLCON POND NO 2,7200933,WEST SIDE DITCH,90.333,6.0,7.4,72,5.37,13.558,72,668.4642
3803543,BOBSON POND NO.2,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.02,0.5,38,61.8,2313.7,72,2.8335000000000012
5101250,HAMILTON-CABIN CREEK EXTENSION,5104655,MOFFAT WATER TUNNEL,3.0,6.05,25.0,51,25.36,928.0,51,75.0
5101250,HAMILTON-CABIN CREEK EXTENSION,5104634,CBT ALVA B ADAMS TUNNEL,5.0,6.05,25.0,51,0.85,550.0,51,125.0
5304002,TRAIL RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,6.05,29.97,53,147.54,1408.0,53,3986.0099999999998
5304002,TRAIL RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,6.05,29.97,53,0.85,550.0,51,149.85
5304002,TRAIL RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,6.05,29.97,53,25.36,928.0,51,89.91
5101250,HAMILTON-CABIN CREEK EXTENSION,5300584,SHOSHONE POWER PLANT,126.0,6.05,25.0,51,147.54,1408.0,53,3150.0
3603537,BUMGARNER RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,6.1,22.0,36,25.36,928.0,51,66.0
5003644,ALBERT RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,6.1,125.26,50,3.21,96.4,50,2004.16
5003644,ALBERT RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,6.1,125.26,50,0.85,550.0,51,626.3000000000001
5003644,ALBERT RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,6.1,125.26,50,147.54,1408.0,53,16659.58
3603537,BUMGARNER RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,6.1,22.0,36,147.54,1408.0,53,2926.0
3603537,BUMGARNER RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,6.1,22.0,36,0.85,550.0,51,110.0
5003644,ALBERT RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,6.1,125.26,50,25.36,928.0,51,375.78000000000003
3804203,ROSE RANCH POND NO.6,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.11,17.67,38,61.8,2313.7,72,100.13589000000006
7203689,WBRUSH 2 RESERVOIR,7200811,OAKLAND DITCH,53.688,6.14,0.5,72,1.94,5.92,72,26.844
