analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
4503597,PARKER RESERVOIR NO 09,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.13,0.5,45,45.59,520.0,36
5304043,UPPER MCLEAN RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,8.13,9.3,53,53.09,940.28,72
4503597,PARKER RESERVOIR NO 09,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.13,0.5,45,15.77,209199.0,36
4503598,PARKER RESERVOIR NO 10,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.13,1.2,45,15.77,209199.0,36
5304043,UPPER MCLEAN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.13,9.3,53,15.77,209199.0,36
5304043,UPPER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,17.333,8.13,9.3,53,147.54,1408.0,53
4503598,PARKER RESERVOIR NO 10,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.13,1.2,45,45.59,520.0,36
5304043,UPPER MCLEAN RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.13,9.3,53,45.59,520.0,36
3603584,MIN LAKE LOST LAKE,3603543,GREEN MOUNTAIN RESERVOIR,343.0,8.13,9.0,36,15.77,209199.0,36
4503598,PARKER RESERVOIR NO 10,7200645,GRAND VALLEY CANAL,15.084000000000001,8.13,1.2,45,53.09,940.28,72
7203858,RAPID CREEK RES NO 1,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.14,1152.24,72,15.77,209199.0,36
7203858,RAPID CREEK RES NO 1,7200645,GRAND VALLEY CANAL,30.168000000000003,8.14,1152.24,72,53.09,940.28,72
3802029,MIN FLOW HUNTER CR MID,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.16,17.0,38,15.77,209199.0,36
3903940,MEADOW CREEK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.16,984.02,39,15.77,209199.0,36
3903940,MEADOW CREEK RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,8.16,984.02,39,53.09,940.28,72
3903940,MEADOW CREEK RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.16,984.02,39,45.59,520.0,36
