wdid,streamMile,sum_netAbs,waterDistrict
3707972,,0,37
3709000,137.52,0,37
3709003,3.23,0,37
3709004,31.17,0,37
3709017,137.52,0,37
3709023,0.08,0,37
3709024,27,0,37
3709027,0.08,0,37
3709029,8.15,0,37
3709030,0.08,0,37
3709034,1.61,0,37
3709035,31.06,0,37
3709039,0.08,0,37
3709040,136.54,0,37
3709041,1.42,0,37
3709052,0.08,0,37
3709055,4.02,0,37
3709057,137.52,0,37
3709058,37.55,0,37
3709059,0.08,0,37
3709063,28.39,0,37
3709075,10.12,0,37
3709076,0.26,0,37
3709077,2.12,0,37
3709083,29.9,0,37
3709084,1.49,0,37
3709085,137.51,0,37
3709087,26.64,0,37
3709088,137.53,0,37
3709092,137.52,0,37
3709094,5.54,0,37
3709098,0.08,0,37
3709099,137.52,0,37
3709100,0.08,0,37
3709102,1.96,0,37
3709103,2.94,0,37
3709104,0,0,37
3709105,0,0,37
3709106,0.08,0,37
3709107,137.52,0,37
3709109,38.36,0,37
3709110,137.52,0,37
3709112,5.37,0,37
3709114,137.52,0,37
3709116,137.52,0,37
3709117,2.21,0,37
3709118,2.46,0,37
3709119,1.29,0,37
3709120,3.44,9.365,37
3709133,137.52,0,37
3709138,46.56,0,37
3709141,137.52,0,37
3709153,137.53,0,37
3709154,9.58,0,37
3709155,11.69,0,37
3709156,0.04,0,37
3709158,0.08,0,37
3709159,156.94,0,37
3709160,5.78,0,37
3709161,0.6,0,37
3709162,16.05,0,37
3717060,,85,37
3800501,6.34,3.3,38
3800502,0.7,2.5,38
3800503,7.25,0.46,38
3800504,,0,38
3800506,10.08,6.2,38
3800507,,0.2,38
3800508,7.22,0.3,38
3800510,2.34,1.125,38
3800511,2.34,0.75,38
3800512,,0.06,38
3800513,45.96,5,38
3800514,45.76,3,38
3800516,2.77,17.2,38
3800517,2.77,26.33,38
3800519,8.07,1.24,38
3800520,8.07,0.534,38
3800521,5.17,2,38
3800522,9.03,6,38
3800523,1.17,0.17,38
3800524,0.04,0.15,38
3800526,14.35,9.771,38
3800527,,8,38
3800528,19.93,45,38
3800529,13.84,0.3,38
3800530,,0.005,38
3800531,1.42,1.3,38
3800532,32.68,5.1,38
3800533,46.05,1.51,38
3800534,,0.462,38
3800536,,0.015,38
3800537,0.05,0.925,38
3800538,,0.014,38
3800539,2.88,4.95,38
3800540,24.27,4,38
3800542,0.57,1,38
3800545,3.14,18.1,38
3800546,23.59,1.72,38
3800547,4.59,23.8,38
3800548,6.98,1,38
3800550,0.8,0.6,38
3800551,0.66,0.624,38
3800552,,1,38
3800553,3.25,1.5,38
3800554,12.35,3,38
3800556,0.18,5.456,38
3800557,7.17,4,38
3800558,3.44,0.62,38
3800559,1.69,0.5,38
3800563,6.1,1.8,38
3800564,37.76,0.044,38
3800565,0,0.125,38
3800566,10.34,0.23,38
3800568,11.79,3.4,38
3800569,11,14,38
3800570,3.7,18,38
3800571,53.57,3.6,38
3800572,9.58,22.18,38
3800573,4.7,11,38
3800574,4.01,42.08,38
3800575,6.29,3.759,38
3800576,5.44,2,38
3800578,0.81,0.077,38
3800579,1.07,1.5,38
3800580,1.1,5.9564,38
3800581,1.46,1.25,38
3800582,1.45,1.75,38
3800583,1.43,1.44,38
3800584,1.47,2.5,38
3800585,26.51,5,38
3800586,2.82,0.3,38
3800587,0.9,0.05,38
3800589,10.89,6.175,38
3800590,3.53,1.533,38
3800591,0.89,3.46,38
3800592,0.39,1.9,38
3800594,1.67,4.5,38
3800595,0.45,0.3,38
3800596,6.74,1.16,38
3800597,6.66,0.79,38
3800598,6.54,1.31,38
3800599,37.37,1,38
3800600,0.17,3.2,38
3800604,28.83,1.5,38
3800606,0.14,16.64,38
3800607,0.49,1.45,38
3800608,0.51,2.64,38
3800610,0.33,0.275,38
3800611,50.49,0.79,38
3800612,,0,38
3800613,1.89,3,38
3800614,23.36,6,38
3800615,1.25,1.18,38
3800616,0.89,4.002,38
3800618,13.87,11.18,38
3800621,2.12,0.2,38
3800622,21.89,5.3,38
3800623,20.99,0.6,38
3800624,3.92,10,38
3800626,0.77,2,38
3800627,1.61,8.459,38
3800628,1.44,2.2,38
3800629,6.58,0.46,38
3800630,1.44,0.25,38
3800631,0.13,3,38
3800632,4.87,0,38
3800635,1.67,0.9,38
3800636,0.45,1,38
3800637,2.14,0.35,38
3800638,1.15,9,38
3800639,6.37,16.87,38
3800640,12.08,1.5,38
3800642,0.49,0.6,38
3800643,0.86,1.5,38
3800644,1.82,1.85,38
3800645,1,5.5,38
3800647,0.8,0.63,38
3800648,45.94,6,38
3800649,6.1,6.3,38
3800651,10.09,41.8,38
3800652,4.03,0.66,38
3800653,11.79,34,38
3800654,0.52,1.4925,38
3800655,6.23,1.5,38
3800656,4.52,0.3,38
3800657,19.85,5.75,38
3800659,35.44,14.99,38
3800660,12.7,19.29,38
3800661,0,8.46,38
3800662,11.31,1,38
3800663,6.65,14.26,38
3800664,0.2,3.216,38
3800666,2.45,1.6,38
3800667,13.26,9.5,38
3800668,2.33,6.92,38
3800671,,1,38
3800672,4.47,1.5,38
3800673,3.26,0,38
3800674,,2,38
3800675,0,1.56,38
3800677,1.76,2,38
3800678,11.89,0,38
3800679,6.59,5,38
3800681,15.72,8,38
3800683,3.54,0.195,38
3800684,26.52,9.3,38
3800685,1.37,5.5,38
3800686,30.17,0.112,38
3800687,3.32,2.4,38
3800688,1.37,12.64,38
3800689,15.72,0.7,38
3800691,1.37,2.8,38
3800692,46.82,0.18,38
3800694,17.71,0.26,38
3800695,3.11,6,38
3800697,1.02,1.5,38
3800698,1.35,2.04,38
3800699,2.7,0,38
3800707,8.83,0.5,38
3800708,14.3,4,38
3800709,9.64,0,38
3800710,0,4,38
3800711,0.72,1.995,38
3800712,13.08,45.888,38
3800713,1.44,4.28,38
3800714,6.49,3.86,38
3800715,27.73,23.74,38
3800716,21.24,8,38
3800717,20.91,2,38
3800718,20.71,2,38
3800719,5.52,2.5,38
3800720,6.37,17.44,38
3800721,17.42,0.15,38
3800724,0.36,0.5,38
3800725,11.06,1.5,38
3800726,7.12,0.2,38
3800728,1.64,5,38
3800730,2.56,0.15,38
3800731,3.03,3,38
3800732,3.7,4,38
3800733,1.04,3.97,38
3800734,1,0.79,38
3800738,3.26,1,38
3800739,,0.055,38
3800740,22.77,23.555,38
3800741,1.44,0.6,38
3800742,0.81,3.2,38
3800743,0.38,0.8,38
3800744,,0.91,38
3800745,1.12,2.56,38
3800746,16.41,1,38
3800747,6.61,6,38
3800748,0.17,0.39,38
3800749,6.26,65.36,38
3800750,11.36,1.1,38
3800752,4.3,5.61,38
3800753,0.68,5.2,38
3800754,1.97,1.78,38
3800755,1.74,30,38
3800756,17.41,2.23,38
3800757,26.65,59,38
3800758,,0.5,38
3800761,4.07,6,38
3800762,0.02,0.46,38
3800767,1.76,4,38
3800768,1,15,38
3800769,2.24,4.41,38
3800770,0.91,3.6,38
3800772,3.17,4.27,38
3800773,2.08,0.3,38
3800774,47.81,0.2,38
3800779,2.04,2,38
3800780,4.52,4,38
3800781,5.45,2,38
3800782,0.23,3.5,38
3800783,0.03,0.125,38
3800784,27.39,5.25,38
3800785,4.17,2.8,38
3800787,27.3,4.963,38
3800788,1.96,2.8,38
3800789,0.43,12,38
3800790,14.48,0,38
3800791,1.97,2,38
3800792,1.34,3,38
3800794,14.53,0.42,38
3800795,,0.6,38
3800796,0.82,1,38
3800798,16.21,27.13,38
3800799,1.17,0.1,38
3800800,29.43,22.475,38
3800801,13.81,0.6,38
3800802,7.25,4.79,38
3800803,,0.7,38
3800805,25.34,20,38
3800806,1.79,2.43,38
3800807,5.42,1,38
3800809,0.49,52,38
3800810,2.73,0.8,38
3800811,0.85,0.8,38
3800813,33.43,7,38
3800814,3.81,6,38
3800816,1.91,4,38
3800817,9.73,0.6,38
3800819,7.54,12,38
3800820,7.32,7.41,38
3800821,3.01,1.4,38
3800822,5.99,15,38
3800823,6.56,1.85,38
3800824,2.12,3.56,38
3800825,13.36,1.2,38
3800830,2.09,3.5,38
3800835,5.73,5.2,38
3800837,42.14,1.575,38
3800838,18.39,13.4,38
3800840,7.67,40.5,38
3800841,0,2,38
3800842,0.53,2,38
3800843,,0.1,38
3800844,8.2,4.33,38
3800845,7.86,4.6,38
3800846,15,4.7,38
3800847,18.8,0.3,38
3800848,,0.0018,38
3800850,44.41,1,38
3800851,0.63,0.1,38
3800852,1.44,0.9,38
3800853,1.54,18.6,38
3800854,4.46,68.4,38
3800855,8.2,4.95,38
3800856,7.9,1.65,38
3800857,14.53,5,38
3800858,3.76,1.33,38
3800859,1.89,3.15,38
3800860,2.03,0.66,38
3800861,5.19,12.7,38
3800862,0.46,2,38
3800863,0.25,0.11,38
3800864,7.25,2,38
3800867,22.84,0.7,38
3800868,0.13,5,38
3800869,3.71,160,38
3800870,4.63,2.5,38
3800871,,1,38
3800872,0.07,0.4,38
3800873,1.44,1.18,38
3800875,25.34,0.5,38
3800877,45.64,3.5,38
3800878,2.42,2,38
3800879,13.55,10,38
3800880,6.29,44.1,38
3800881,13.9,53,38
3800882,1.02,0.8,38
3800883,3.03,4.4,38
3800884,9.67,6.28,38
3800885,17.5,3.13,38
3800886,2.68,4.8,38
3800887,13.7,0.31,38
3800889,,4,38
3800890,11.75,22.89,38
3800891,17.22,2.61,38
3800892,,0.05,38
3800893,7.47,30,38
3800894,1.95,0.4,38
3800895,2.39,3,38
3800896,5.82,9.54,38
3800897,24.04,0.35,38
3800900,5.09,2.91,38
3800902,11.56,27.2,38
3800903,18.88,0.26,38
3800904,46.86,4.79,38
3800907,2.06,1,38
3800908,22.77,4.79,38
3800909,1.1,9.3,38
3800910,,0.5,38
3800911,31.45,1.5,38
3800912,1.16,0.25,38
3800914,1.49,1.2,38
3800915,,4.6,38
3800917,,0.2,38
3800919,1.02,0.8,38
3800920,15.11,12,38
3800921,15.64,1.2,38
3800922,8.17,2.5,38
3800923,,0.13,38
3800924,3.98,25,38
3800925,7.58,16.9,38
3800926,26.06,0.72,38
3800927,1.89,0.8,38
3800928,1.89,0.5,38
3800929,18.88,0.6,38
3800930,17.48,63,38
3800931,21.45,7,38
3800932,2.28,2,38
3800933,2.81,2,38
3800937,12.33,3.5,38
3800938,12.98,6,38
3800939,0.68,12.51,38
3800941,5.65,3,38
3800943,0,1,38
3800945,32.91,0.44,38
3800946,9.95,1.9,38
3800948,2.68,13.4,38
3800949,1.89,1.4,38
3800951,2.46,0.6,38
3800953,1.89,1,38
3800954,0.28,10.2,38
3800955,1.63,0.07,38
3800956,1.11,4.26,38
3800957,0,0,38
3800959,0.69,13.4,38
3800960,1.42,2.5,38
3800961,4.32,3.8,38
3800962,11.93,0.5,38
3800963,46.31,3,38
3800964,,0.02,38
3800965,6.09,6.15,38
3800966,9.66,22.75,38
3800968,23.72,49.333,38
3800969,3.24,1.9,38
3800970,4.46,35.2,38
3800971,2.24,2.14,38
3800972,12.32,0.4,38
3800974,6.99,3,38
3800977,14.82,2.26,38
3800978,0,3,38
3800979,6.28,2,38
3800981,46.85,59,38
3800982,0.82,1,38
3800983,,0.0036,38
3800984,7.53,8.4,38
3800985,3.23,1,38
3800987,5.1,1.3,38
3800988,3.66,8.15,38
3800989,1.44,13.46,38
3800990,,0.045,38
3800991,,3,38
3800992,1.71,5.511,38
3800994,4.56,12.66,38
3800995,,1.52,38
3800996,17.66,49.26,38
3800997,0.84,0.9,38
3800998,2.29,1.7,38
3800999,1.68,1.39,38
3801000,1.89,0.56,38
3801001,16.52,4.9,38
3801002,16.43,4.9,38
3801004,1.38,0.18,38
3801005,2.7,1.6,38
3801007,47.87,0,38
3801008,1.52,1.06,38
3801009,0.72,3.45,38
3801010,,1,38
3801011,6.73,8.675,38
3801012,5.23,33.434,38
3801013,13.61,5,38
3801014,9.65,0.866,38
3801015,1.02,9.35,38
3801016,2.74,2,38
3801018,1.09,18.08,38
3801020,0.62,1.07,38
3801023,4.94,2.33,38
3801025,0.98,2.8,38
3801026,2.19,16.01,38
3801027,2.62,1.33,38
3801028,4.34,25,38
3801029,3.7,0.46,38
3801031,2.65,2.2,38
3801032,2.28,0.3,38
3801033,0,6,38
3801035,1.05,0.7,38
3801036,10.16,0.004,38
3801038,11.83,75,38
3801040,0.32,3.217,38
3801041,13.52,2.9,38
3801042,2.15,2,38
3801043,1.34,0.8,38
3801044,1.68,2.2,38
3801045,0.58,2,38
3801046,2.82,3,38
3801048,,0.0023,38
3801049,,0.0023,38
3801050,0,0.8,38
3801051,1.44,0.2,38
3801052,0.51,8.75,38
3801053,19.17,5.1,38
3801054,,1,38
3801056,,1,38
3801057,1.87,5,38
3801058,1.16,2,38
3801059,49.06,3,38
3801060,47.71,1,38
3801061,48.07,1,38
3801062,17.91,31.5,38
3801063,2.49,1.76,38
3801064,2.83,3.4,38
3801066,5.23,1.4,38
3801067,5.94,2.9,38
3801068,,0.7,38
3801069,1.41,0.2,38
3801071,1.27,0.06,38
3801072,5.93,1.5,38
3801073,1.19,38.2,38
3801074,2.22,1.99,38
3801076,,0.1,38
3801077,,11.96,38
3801078,5.12,71.92,38
3801079,4.86,9.04,38
3801082,3.21,12.36,38
3801084,2.59,1,38
3801085,2.81,1,38
3801087,6.16,0.04,38
3801088,0.85,3.6,38
3801089,,0.1,38
3801090,31.9,6,38
3801091,46.1,10,38
3801092,1.7,3.7,38
3801093,16.28,1.45,38
3801094,0.77,0.5,38
3801095,2.04,15,38
3801096,1.68,8.5,38
3801098,2.82,4.5,38
3801099,2.76,2,38
3801100,26.52,3.44,38
3801101,0.21,40.5,38
3801102,0.36,1,38
3801103,0.34,2,38
3801104,3.31,13,38
3801105,0.24,1.92,38
3801107,27.37,0.04,38
3801108,,0.5,38
3801109,1.25,4.25,38
3801110,1.01,1.5,38
3801112,11.66,1.5,38
3801113,47.17,0.111,38
3801114,43.76,0.5,38
3801115,,0.026,38
3801116,12.16,1,38
3801117,3.96,4,38
3801118,0.6,0.6,38
3801120,6.93,5,38
3801121,0.2,3.86,38
3801122,8.98,0.05,38
3801125,22.01,3.33,38
3801126,14.6,1.193,38
3801127,14.23,0.1585,38
3801128,45.12,1,38
3801129,17.7,6.3,38
3801130,3.14,9.6,38
3801131,0.77,3.67,38
3801132,0.4,16.2773,38
3801133,1.51,0.7,38
3801134,1.77,10,38
3801135,5.09,0.41,38
3801136,35.06,0.78,38
3801140,,0.028,38
3801141,10.86,3.3,38
3801142,2.37,2.5,38
3801143,2.54,1.29,38
3801144,2.75,2,38
3801145,1.45,4.52,38
3801146,2.36,12.16,38
3801147,1.4,27.126,38
3801148,0.99,6.2,38
3801149,7.08,2.8,38
3801150,50.56,0,38
3801151,,0.138,38
3801152,,0.08,38
3801153,,0.7,38
3801154,3.58,0.08,38
3801155,,0.0396,38
3801156,4.46,0,38
3801157,,0,38
3801159,3.28,0.2,38
3801162,0.55,3.38,38
3801163,3.7,0.067,38
3801164,31.79,0,38
3801165,18.22,1,38
3801166,,0.033,38
3801167,2.09,0.95,38
3801168,2.28,0,38
3801169,,0.0154,38
3801170,50.65,0,38
3801171,44.25,0.055,38
3801172,,0.044,38
3801173,30.84,3.112,38
3801174,32.94,0,38
3801175,,0.011,38
3801177,4.08,0.805,38
3801180,1.34,0,38
3801181,42.88,1.46,38
3801182,1.81,2,38
3801183,,0.2,38
3801184,,3.25,38
3801185,15.14,0.5,38
3801189,,0,38
3801190,,0,38
3801191,,0,38
3801192,2.41,0.5,38
3801193,2.37,0.5,38
3801194,6.43,1,38
3801198,20.98,0.07,38
3801199,3.72,0.033,38
3801200,14.67,17,38
3801201,21.23,0,38
3801202,18.44,0.2,38
3801203,0.83,0.154,38
3801206,,0.029,38
3801207,0.56,0.16,38
3801208,20.99,0.033,38
3801209,36.16,0.05,38
3801210,7.43,1,38
3801211,13.21,0.1,38
3801212,5.61,0.25,38
3801213,,1.034,38
3801214,63.91,1,38
3801215,0.52,9,38
3801216,0.13,0.2,38
3801217,,3.5,38
3801218,4.25,0,38
3801219,23.09,0,38
3801222,3.41,0.2222,38
3801223,4.47,0.0462,38
3801225,2.66,0,38
3801226,44.89,0,38
3801227,0.21,8.66,38
3801228,,0.056,38
3801229,21.83,0,38
3801230,4.41,0,38
3801231,2.72,0.18,38
3801233,3.38,0,38
3801234,45.62,0.122,38
3801235,36.16,0.027,38
3801236,1.71,1.5,38
3801237,1.65,0.516,38
3801238,9.23,1,38
3801239,,0.8,38
3801240,,2,38
3801241,2,1,38
3801242,0.46,2.04,38
3801243,10.38,0,38
3801245,10.37,0,38
3801247,47.34,1,38
3801248,47.61,0,38
3801249,,0.1559,38
3801251,4.25,0,38
3801252,37.7,0.033,38
3801254,30.84,3.98,38
3801255,0.42,1,38
3801256,9,0,38
3801257,32.76,0.8,38
3801258,6.14,1.45,38
3801259,8.55,2,38
3801260,31.72,0.026,38
3801261,36.16,0.8,38
3801262,,0.2,38
3801263,,0.16,38
3801264,,0.5,38
3801265,3.18,0.5,38
3801266,43.75,0.25,38
3801267,12.89,1.326,38
3801268,0.69,0,38
3801269,,0.075,38
3801270,11.54,0.5,38
3801271,1.44,7.5,38
3801272,46.05,2.88,38
3801273,,0.176,38
3801274,5.61,0.312,38
3801276,1.44,0,38
3801277,15.05,0.5,38
3801279,,0,38
3801280,,0.5,38
3801282,15.05,0.5,38
3801285,,2,38
3801286,,3.75,38
3801287,,6.167,38
3801289,2.49,7.8,38
3801290,3.7,0,38
3801291,0.44,0.05,38
3801292,,0.074,38
3801294,,0.5,38
3801296,,1.5,38
3801297,,0.066,38
3801298,,0.022,38
3801299,50.42,0.222,38
3801300,39.77,3,38
3801301,6.8,5.3,38
3801303,,1,38
3801304,2.69,3,38
3801306,,1.71,38
3801308,28.15,2,38
3801309,40.54,1,38
3801310,,0.5,38
3801311,,0,38
3801313,,0,38
3801314,18.19,0.78,38
3801315,,1.44,38
3801316,3.51,0,38
3801317,1.3,0,38
3801318,1.38,0,38
3801319,0.13,0.12,38
3801320,1.72,0.033,38
3801321,1.73,0.033,38
3801322,,3,38
3801323,4.06,0,38
3801324,2.66,0,38
3801325,6.54,0.1,38
3801326,7.52,2,38
3801327,6.62,1.5,38
3801328,4.21,0.13,38
3801329,2.91,0.2,38
3801330,3.85,0.4,38
3801331,7.28,0.111,38
3801332,34.74,0.728,38
3801333,45.12,0.4,38
3801334,9.98,0,38
3801335,,2.5,38
3801340,,0.1,38
3801341,,5,38
3801344,0.62,3,38
3801345,2.39,0,38
3801346,0.84,0,38
3801347,5.65,1,38
3801348,,1,38
3801349,0.75,0,38
3801350,0.08,1,38
3801351,0.56,2,38
3801352,0.8,2,38
3801353,0.34,0.05,38
3801354,14.48,0,38
3801355,1.44,0.863,38
3801356,,0.75,38
3801357,0.65,2,38
3801359,5.92,0,38
3801360,14.41,300,38
3801362,0.66,0.033,38
3801363,0,1,38
3801364,,0.0891,38
3801365,0.76,0,38
3801368,,0.2,38
3801369,4.81,1.72,38
3801370,31.94,0.333,38
3801371,5.77,0,38
3801372,3.37,0.5,38
3801373,,0.35,38
3801374,,0.25,38
3801375,10.45,1.07,38
3801376,0.07,4,38
3801377,6.62,3,38
3801378,6.62,5,38
3801379,14.48,2,38
3801381,5.67,0.3,38
3801382,,1.5,38
3801383,,0.45,38
3801385,,8.8,38
3801386,5.88,0.3,38
3801387,46.81,0.11,38
3801388,,0.2,38
3801389,38.77,4,38
3801390,,0.6,38
3801391,,1,38
3801392,46.29,0,38
3801393,7.21,11.5,38
3801394,46.81,0.11,38
3801395,,2.52,38
3801396,37.86,0,38
3801398,,1.5,38
3801399,,0.75,38
3801400,0.07,5,38
3801401,,0,38
3801402,,2,38
3801403,39.05,1.7,38
3801404,0.1,4,38
3801405,,0.004,38
3801406,41.81,0,38
3801407,,0.35,38
3801408,4.56,0,38
3801409,41.28,0.067,38
3801410,31.72,0,38
3801412,,0.2,38
3801413,,0.2,38
3801414,,0.2,38
3801415,36.58,0.022,38
3801417,4.5,0,38
3801418,45.18,653,38
3801422,,0.75,38
3801423,6.86,4,38
3801425,,0.25,38
3801427,0.58,0.33,38
3801428,6.43,0.5,38
3801433,,0.22,38
3801434,37.7,0.11,38
3801435,,0.2,38
3801436,,0.11,38
3801438,,0.0111,38
3801439,,0.25,38
3801440,,0.7,38
3801441,11.79,16,38
3801442,10.89,15.1,38
3801443,,0.007,38
3801444,0.58,0.15,38
3801445,0.19,0.5,38
3801446,,0.33,38
3801447,,0.33,38
3801448,,0.33,38
3801449,3.55,0,38
3801452,,0.1,38
3801453,,0.5,38
3801454,2.9,0.35,38
3801457,1.14,0,38
3801458,17.47,4.095,38
3801459,,0.004,38
3801462,,0.007,38
3801463,1.41,0.033,38
3801465,41.34,6.51,38
3801467,,0.56,38
3801468,5.95,2.23,38
3801469,1.98,2,38
3801471,7.12,1.041,38
3801472,1.7,0.11,38
3801474,11.24,1,38
3801475,5.1,0,38
3801476,,0.29,38
3801478,5.72,0.5,38
3801480,1.82,4,38
3801481,2.72,26.4,38
3801482,26.51,0,38
3801483,2.27,2.5,38
3801484,1.36,0,38
3801485,3.7,3.3,38
3801486,,0.15,38
3801487,,0,38
3801488,,0,38
3801489,2.28,2.5,38
3801490,2.23,1,38
3801493,0.55,0.5,38
3801494,4.63,6.19,38
3801495,4.63,0,38
3801496,3.38,0.5,38
3801497,3.65,0,38
3801498,0.66,2.76,38
3801499,2.76,0.22,38
3801501,16.69,0,38
3801502,1.35,0,38
3801503,,0.5,38
3801505,,0.25,38
3801506,,0.33,38
3801507,,0.33,38
3801508,,0.0025,38
3801509,0.79,0.055,38
3801510,3.31,0.01,38
3801511,1.51,3,38
3801512,1.18,0.612,38
3801513,5.1,0,38
3801514,20.84,1,38
3801516,11.24,0,38
3801517,5.29,0.044,38
3801518,5.66,0.5,38
3801519,4.64,0,38
3801520,7.43,1,38
3801521,7.43,0.7,38
3801522,2.73,0,38
3801535,11.7,1.29,38
3801536,1.25,0.0267,38
3801538,2.74,0.033,38
3801539,,0,38
3801540,1.48,0.112,38
3801541,27.47,19.9,38
3801542,0.6,0,38
3801543,0.55,0,38
3801544,0.5,0,38
3801545,0.39,0,38
3801547,0.5,0,38
3801548,0.39,0,38
3801549,0.67,2.5,38
3801552,2.18,0,38
3801553,44.31,0,38
3801554,9.14,0.5,38
3801555,2.52,1,38
3801556,0.12,3,38
3801557,0.88,0.34,38
3801558,4.46,0,38
3801559,,0.482,38
3801560,0.9,1,38
3801561,49.19,1.43,38
3801562,19.21,0,38
3801563,21.89,0.3,38
3801564,27.45,0,38
3801565,50.59,0,38
3801566,6.39,0.385,38
3801567,1.25,0,38
3801569,6.01,0,38
3801570,0.72,0.117,38
3801571,6.36,0,38
3801572,1.97,3,38
3801573,0.27,1,38
3801574,,0.1,38
3801577,1.06,0.2,38
3801578,7.02,2.2,38
3801579,5.86,0.82,38
3801582,9.9,0,38
3801584,10.19,0.59,38
3801585,0.66,0,38
3801586,0.43,0,38
3801587,35.19,0,38
3801588,3.63,0,38
3801589,2.55,0,38
3801590,35.71,0,38
3801591,33.2,0,38
3801592,0.91,0,38
3801593,9.35,0,38
3801594,9.33,0,38
3801595,2.91,0,38
3801596,2.25,0,38
3801597,6.01,0,38
3801598,0.43,0,38
3801599,9.71,0,38
3801600,0.4,0,38
3801601,0.77,0,38
3801602,0.48,0,38
3801603,29.23,0,38
3801604,29.21,0,38
3801605,2.83,0,38
3801606,3.29,0,38
3801607,29.23,0,38
3801608,0.92,0,38
3801609,8.65,0,38
3801610,5.85,0,38
3801611,29.22,0,38
3801612,24.34,0,38
3801613,0.29,0,38
3801614,23.39,0,38
3801615,23.51,0,38
3801616,29.56,0,38
3801617,29.56,0,38
3801618,33.4,0,38
3801620,47.81,0.11,38
3801622,0.44,0.0267,38
3801624,6.52,0.5,38
3801625,7.24,0,38
3801627,1.44,0.43,38
3801628,1.44,1.29,38
3801629,1.44,0.95,38
3801630,49.31,0.87,38
3801632,25.35,0.2,38
3801633,2.66,4.8,38
3801634,17.11,0,38
3801635,16.65,0,38
3801636,16.65,0,38
3801637,16.54,0,38
3801638,15.92,0,38
3801639,16.33,10,38
3801640,29.9,0,38
3801641,10.81,0,38
3801642,10.89,0,38
3801643,1.17,0,38
3801644,1.15,0,38
3801645,,0,38
3801646,,1.1,38
3801649,3.21,0,38
3801652,14.24,0,38
3801653,29.8,0.25,38
3801654,28.99,1.85,38
3801655,26.86,0.25,38
3801656,,0,38
3801657,24.85,0.72,38
3801658,17.4,0,38
3801659,2.79,1.15,38
3801661,4.13,15,38
3801667,1.44,0,38
3801668,29.16,1.4,38
3801669,14.29,0.1585,38
3801670,3.14,0,38
3801671,3.2,0,38
3801672,0.08,0.0557,38
3801673,2.42,0,38
3801674,18.22,0,38
3801675,7.41,0,38
3801676,6.03,0,38
3801677,31.97,0,38
3801678,31.09,0,38
3801679,29.9,0,38
3801680,30.14,0,38
3801681,29.26,0,38
3801682,28.18,0,38
3801683,28.03,0,38
3801684,27.32,0,38
3801685,6.45,0,38
3801686,32.27,0,38
3801687,31.97,0,38
3801688,1.58,0,38
3801689,1.58,0,38
3801690,,0,38
3801691,,0,38
3801692,,0,38
3801693,,0,38
3801694,,0,38
3801695,,0,38
3801696,,0,38
3801697,,0,38
3801698,,0,38
3801699,,0,38
3801700,,0,38
3801701,2.92,0.0916,38
3801702,,0.044,38
3801703,,0.033,38
3801704,,0.055,38
3801705,,0.067,38
3801706,,0.067,38
3801707,12.04,1.87,38
3801708,12.99,0.93,38
3801709,12.04,1.94,38
3801714,7.28,0,38
3801715,7.28,0,38
3801716,4.27,1,38
3801717,4.22,0,38
3801724,4.42,0,38
3801726,4.46,0,38
3801730,5.1,0,38
3801732,1.52,0,38
3801738,,0,38
3801739,,0,38
3801740,,0,38
3801741,,0,38
3801742,,0,38
3801743,3.99,3.31,38
3801744,3.81,0,38
3801745,3.76,0,38
3801746,1.34,0,38
3801747,1.34,0,38
3801748,1.32,0,38
3801749,1.32,0,38
3801750,,0,38
3801751,,0,38
3801752,,0,38
3801753,,0,38
3801754,,0,38
3801755,,0,38
3801756,,0,38
3801757,,0,38
3801758,,0,38
3801759,,0,38
3801760,7.99,25,38
3801761,5.21,50,38
3801762,5.91,70,38
3801763,61.88,486.16,38
3801764,2.78,76.61,38
3801765,3.19,0,38
3801766,4.4,210,38
3801767,61.69,21.33,38
3801768,4.84,20,38
3801769,37.52,0,38
3801770,11.29,0,38
3801771,8.32,8,38
3801772,8.34,0,38
3801773,6.85,15,38
3801774,19.4,2,38
3801775,7.69,15,38
3801776,2.02,0.2,38
3801777,0.21,4.2,38
3801778,0.32,0.38,38
3801779,0.24,1.69,38
3801780,0.16,0.5,38
3801781,0.15,1.69,38
3801782,7.14,0,38
3801783,,1.5,38
3801786,50.66,0.02,38
3801787,50.57,0.02,38
3801788,4.13,0.22,38
3801789,3.88,0.1,38
3801790,1.6,27.34,38
3801791,1.82,2.5,38
3801793,1.53,3.2,38
3801794,,0.067,38
3801795,17.4,0,38
3801796,2.49,4.46,38
3801797,5.67,0.05,38
3801798,0.32,0.25,38
3801799,0.32,0.25,38
3801800,0.32,0.5,38
3801801,0.32,0.25,38
3801804,,0.003,38
3801805,,0.036,38
3801807,,0.5,38
3801808,30.14,0.07,38
3801809,3.13,0.033,38
3801810,3.97,0.25,38
3801811,44.34,0.0268,38
3801812,24.6,0.0033,38
3801813,11.9,0.08,38
3801814,6.43,0.111,38
3801815,16.1,0.1,38
3801816,7.28,0.1,38
3801817,22.31,0.036,38
3801818,7.28,0.111,38
3801819,7.28,0,38
3801820,7.28,0,38
3801821,0.25,0,38
3801823,1.89,0.4,38
3801824,,0.022,38
3801825,0.74,1,38
3801826,3.98,0,38
3801827,50.83,0.2,38
3801828,8.43,1.75,38
3801831,1.6,0,38
