analysisAdminNo,priorityAdminNo,wt
56247.539220000006,20427.18999,93.333
31566.0,20427.18999,93.333
54969.0,20427.18999,93.333
51361.0,20427.18999,93.333
56063.0,20427.18999,93.333
44559.4266,20427.18999,93.333
50038.493089999996,20427.18999,93.333
52595.47634,20427.18999,93.333
54786.54603,20427.18999,93.333
40785.0,20427.18999,93.333
52595.43829,20427.18999,93.333
32075.1461,20427.18999,93.333
55142.0,20427.18999,93.333
32075.09324,20427.18999,93.333
53225.0,20427.18999,93.333
52595.390810000004,20427.18999,93.333
51864.4949,20427.18999,93.333
32075.280319999998,20427.18999,93.333
45290.35239,20427.18999,93.333
30184.21915,20427.18999,93.333
49563.0,20427.18999,93.333
29228.28408,20427.18999,93.333
45512.0,20427.18999,93.333
29642.28956,20427.18999,93.333
46386.18627,20427.18999,93.333
49581.0,20427.18999,93.333
30184.142460000003,20427.18999,93.333
35915.0,20427.18999,93.333
48212.47999,20427.18999,93.333
35238.0,20427.18999,93.333
33094.0,20427.18999,93.333
30184.23526,20427.18999,93.333
51864.51194,20427.18999,93.333
30184.29071,20427.18999,93.333
49673.47786,20427.18999,93.333
48212.40754,20427.18999,93.333
43234.0,20427.18999,93.333
48212.44803,20427.18999,93.333
53935.0,20427.18999,93.333
49746.0,20427.18999,93.333
29228.282839999996,20427.18999,93.333
29022.25372,20427.18999,93.333
51499.49093,20427.18999,93.333
56978.56752999999,20427.18999,93.333
31272.0,20427.18999,93.333
35929.0,20427.18999,93.333
44194.3068,20427.18999,93.333
33799.0,20427.18999,93.333
52133.0,20427.18999,93.333
56978.26467999999,20427.18999,93.333
47670.0,20427.18999,93.333
33289.0,20427.18999,93.333
56613.53112000001,20427.18999,93.333
48577.4767,20427.18999,93.333
49308.49216,20427.18999,93.333
47116.4602,13788.0,88.80199999999999
47116.46599,13788.0,88.80199999999999
47116.45882,13788.0,88.80199999999999
58804.58731,13891.0,88.80199999999999
18749.17015,13891.0,88.80199999999999
37620.0,13891.0,88.80199999999999
18749.1738,13891.0,88.80199999999999
55517.31411,13788.0,88.80199999999999
34419.23861,13891.0,88.80199999999999
55517.401770000004,13788.0,88.80199999999999
46751.25987,13891.0,88.80199999999999
57212.0,13788.0,88.80199999999999
56854.0,13891.0,88.80199999999999
47116.4529,13788.0,88.80199999999999
44925.402369999996,13788.0,88.80199999999999
56978.40014,13788.0,88.80199999999999
45290.4526,13788.0,88.80199999999999
34419.23541,13891.0,88.80199999999999
34419.32368,13788.0,88.80199999999999
34419.316719999995,13788.0,88.80199999999999
34419.294930000004,13788.0,88.80199999999999
34419.25733,13891.0,88.80199999999999
18749.16276,13891.0,88.80199999999999
53691.531970000004,13788.0,88.80199999999999
30895.22872,13788.0,88.80199999999999
30895.226,13891.0,88.80199999999999
31333.0,13788.0,88.80199999999999
44559.311969999995,13788.0,88.80199999999999
30895.297639999997,13891.0,88.80199999999999
30895.26528,13891.0,88.80199999999999
37486.0,13891.0,88.80199999999999
30895.265260000004,13788.0,88.80199999999999
30895.25758,13788.0,88.80199999999999
30895.2321,13891.0,88.80199999999999
40013.316719999995,13788.0,88.80199999999999
53691.50525,13891.0,88.80199999999999
46020.45581,12541.0,87.634
23378.20946,12541.0,87.634
55904.0,30941.1851,85.239
32907.31989,30941.1851,85.239
50979.0,30941.1851,85.239
55517.54252,14911.0,76.80199999999999
55757.0,14911.0,76.80199999999999
55517.54587,14911.0,76.80199999999999
55730.0,14911.0,76.80199999999999
27132.270589999996,14911.0,76.80199999999999
53020.0,14911.0,76.80199999999999
57708.57415,14911.0,76.80199999999999
20198.13657,14911.0,76.80199999999999
55517.54222,14911.0,76.80199999999999
56037.0,14911.0,76.80199999999999
55517.54237999999,14911.0,76.80199999999999
55241.0,14911.0,76.80199999999999
55517.534779999994,14911.0,76.80199999999999
55517.41039,14911.0,76.80199999999999
55318.0,14911.0,76.80199999999999
22922.22146,14911.0,76.80199999999999
55517.48364,14911.0,76.80199999999999
51864.50982,30941.253360000002,73.0
49423.0,30941.253360000002,73.0
47847.47116,30941.253360000002,73.0
52229.0,30941.253360000002,73.0
49308.46537,30941.253360000002,73.0
46020.455780000004,30941.253360000002,73.0
42467.0,30941.253360000002,73.0
47113.0,30941.253360000002,73.0
51403.0,30941.253360000002,73.0
48027.0,30941.253360000002,73.0
52230.51286,30941.253360000002,73.0
53325.509360000004,30941.253360000002,73.0
51864.51264,30941.253360000002,73.0
51864.512689999996,30941.253360000002,73.0
21497.18744,12236.0,70.0
39617.36038,23107.199780000003,69.0
54786.52747000001,23107.199780000003,69.0
53691.38868,23107.199780000003,69.0
48942.4812,23107.199780000003,69.0
36396.17728,23107.199780000003,69.0
57343.56765,23107.199780000003,69.0
54056.3141,23107.199780000003,69.0
54421.45899,23107.199780000003,69.0
47847.47784,23107.199780000003,69.0
36396.313030000005,23107.199780000003,69.0
49102.0,23107.199780000003,69.0
36396.33928,23107.199780000003,69.0
55671.0,23107.199780000003,69.0
48065.0,23107.199780000003,69.0
44559.24307,23107.199780000003,69.0
52960.50874,23107.199780000003,69.0
54969.0,23107.199780000003,69.0
54786.513779999994,23107.199780000003,69.0
54786.523989999994,23107.199780000003,69.0
53691.29674,23107.199780000003,69.0
