analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5203960,OLSEN RESERVOIR NO 1.5,5300584,SHOSHONE POWER PLANT,293.731
5203959,OLSEN RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,293.731
5203949,ROCK GAP DAM,5300584,SHOSHONE POWER PLANT,293.731
5003661,HARTMAN NO 2 POND,5300584,SHOSHONE POWER PLANT,293.731
5203937,CHRISTENSEN DAM,5300584,SHOSHONE POWER PLANT,293.731
5203975,PINEY PEAK POND NO 5,5300584,SHOSHONE POWER PLANT,293.731
5203982,MARMA LAKE,5300584,SHOSHONE POWER PLANT,293.731
5103748,LEWIS POND EMPOUNDMENT,5300584,SHOSHONE POWER PLANT,293.731
5204005,PINJNRPI20 RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204018,UNCAPHER SPR RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204014,TWINPINE RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204013,TRIANGLE RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204012,STEINRPI22 RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204008,SOUTHFORK RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204006,REED RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204003,PEYTON RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5203983,WHEELOCK POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5204002,NELKREPI24 RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204000,MONIGFLAT RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5203996,FILBUR RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5203994,EDWARDS RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
3703893,CJC POND NO. 2,5300584,SHOSHONE POWER PLANT,293.731
5203984,WHEELOCK POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5200662,BEST DITCH,5300584,SHOSHONE POWER PLANT,293.731
5003670,PINNEY RANCH RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104062,KESSLER RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104022,PASCAL POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104028,ROBINSON SWAN DITCH NO 2 POND 2,5300584,SHOSHONE POWER PLANT,293.731
5104027,ROBINSON SWAN DITCH NO 1 POND 2,5300584,SHOSHONE POWER PLANT,293.731
5104026,ROBINSON SWAN DITCH NO 2 POND 1,5300584,SHOSHONE POWER PLANT,293.731
5104025,ROBINSON SWAN DITCH NO 1 POND 1,5300584,SHOSHONE POWER PLANT,293.731
5104024,PICKERING RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104023,PASCAL POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5104020,LITTLE HO RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104057,CORRAL CREEK POND,5300584,SHOSHONE POWER PLANT,293.731
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104013,DOE CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104012,COTTONWOOD RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104010,MURPHY RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104006,BULL RUN CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104029,ROBINSON SWAN DITCH NO 2 POND 3,5300584,SHOSHONE POWER PLANT,293.731
5104032,WHITING RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104033,YOUNG LIFE POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104037,C LAZY U FISH POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5104038,GORE RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104039,HEBERTON RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5104040,KLEINS FISH POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5104041,KLEINS FISH POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5104042,KLEINS FISH POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5104043,KLEINS FISH POND NO 4,5300584,SHOSHONE POWER PLANT,293.731
5104047,NEVER SUMMER LAKE,5300584,SHOSHONE POWER PLANT,293.731
5104048,NIELSEN RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
