analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3703851,LOST LAKE,3700823,STRATTON AND CO DITCH,4.0,3.0,15.0,37,8.34,54.4,37
3703851,LOST LAKE,3700561,DAGGETT AND PARKER DITCH,1.0,3.0,15.0,37,5.0,23.26,37
3703851,LOST LAKE,3700761,PHILLIPS DITCH,1.0,3.0,15.0,37,5.83,5.03,37
3703858,METCALF RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.0,0.5,37,0.85,550.0,51
3703604,WEBSTER FISH POND NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.0,3.5,37,0.85,550.0,51
5304044,RED DIRT POND NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.01,1.5,53,0.85,550.0,51
5304044,RED DIRT POND NO 1,5104655,MOFFAT WATER TUNNEL,3.0,3.01,1.5,53,25.36,928.0,51
5304044,RED DIRT POND NO 1,5300584,SHOSHONE POWER PLANT,133.0,3.01,1.5,53,147.54,1408.0,53
4500635,HUDSON & SULLIVAN DITCH,7200646,GRAND VALLEY PROJECT,5.667000000000002,3.01,16.14,45,61.8,2313.7,72
3703605,WEBSTER FISH POND NO 2,5300584,SHOSHONE POWER PLANT,133.0,3.02,3.5,37,147.54,1408.0,53
3703605,WEBSTER FISH POND NO 2,5104655,MOFFAT WATER TUNNEL,3.0,3.02,3.5,37,25.36,928.0,51
3703605,WEBSTER FISH POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.02,3.5,37,0.85,550.0,51
4503613,KLC RESERVOIR NO 1,4500810,WARD AND REYNOLDS DITCH,17.0,3.03,2.45,45,1.82,9.92,45
4503613,KLC RESERVOIR NO 1,4500725,PORTER DITCH,4.0,3.03,2.45,45,7.94,62.5,45
4503613,KLC RESERVOIR NO 1,4500693,MINEOTA DITCH,49.667,3.03,2.45,45,3.19,23.53,45
4503613,KLC RESERVOIR NO 1,4500704,MULTA-TRINA DITCH,10.0,3.03,2.45,45,1.74,49.75,45
3703833,EAST BEARD RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,3.1,0.1,37,25.36,928.0,51
7203839,LEON LAKE RESERVOIR,7200858,ROSA DITCH,4.958,3.1,3500.0,72,30.57,4.09,72
7203839,LEON LAKE RESERVOIR,7200540,BLACKMAN DUNLAP CLARK D,10.105,3.1,3500.0,72,27.29,9.528,72
3703960,CORDILLERA GOLF COURSE POND NO. 6,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.1,8.23,37,0.85,550.0,51
3703833,EAST BEARD RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.1,0.1,37,0.85,550.0,51
7203839,LEON LAKE RESERVOIR,7200928,VEGA DITCH,11.916,3.1,3500.0,72,39.14,7.45,72
7203839,LEON LAKE RESERVOIR,7200628,GALBRAITH DITCH,2.042,3.1,3500.0,72,33.56,15.63,72
3703833,EAST BEARD RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,3.1,0.1,37,147.54,1408.0,53
3703960,CORDILLERA GOLF COURSE POND NO. 6,5300584,SHOSHONE POWER PLANT,133.0,3.1,8.23,37,147.54,1408.0,53
7203839,LEON LAKE RESERVOIR,7200662,HARDSCRABBLE DITCH,13.043,3.1,3500.0,72,30.4,6.86,72
3703960,CORDILLERA GOLF COURSE POND NO. 6,5104655,MOFFAT WATER TUNNEL,3.0,3.1,8.23,37,25.36,928.0,51
7204715,LEON TUNNEL CANAL,7200628,GALBRAITH DITCH,2.042,3.11,54.0,72,33.56,15.63,72
7204715,LEON TUNNEL CANAL,7200540,BLACKMAN DUNLAP CLARK D,10.105,3.11,54.0,72,27.29,9.528,72
7204715,LEON TUNNEL CANAL,7200662,HARDSCRABBLE DITCH,13.043,3.11,54.0,72,30.4,6.86,72
7204715,LEON TUNNEL CANAL,7200858,ROSA DITCH,4.958,3.11,54.0,72,30.57,4.09,72
7204715,LEON TUNNEL CANAL,7200928,VEGA DITCH,11.916,3.11,54.0,72,39.14,7.45,72
7203843,MONUMENT RESERVOIR NO 2,7200662,HARDSCRABBLE DITCH,30.044,3.14,254.0,72,30.4,6.86,72
7203843,MONUMENT RESERVOIR NO 2,7200746,LEON PARK FEEDER CANAL,155.333,3.14,254.0,72,2.54,450.0,72
7203843,MONUMENT RESERVOIR NO 2,7200858,ROSA DITCH,9.916,3.14,254.0,72,30.57,4.09,72
7203843,MONUMENT RESERVOIR NO 2,7200628,GALBRAITH DITCH,4.084,3.14,254.0,72,33.56,15.63,72
7203843,MONUMENT RESERVOIR NO 2,7200540,BLACKMAN DUNLAP CLARK D,20.21,3.14,254.0,72,27.29,9.528,72
7203843,MONUMENT RESERVOIR NO 2,7200928,VEGA DITCH,23.832,3.14,254.0,72,39.14,7.45,72
5304045,RED DIRT POND NO 2,5104655,MOFFAT WATER TUNNEL,3.0,3.17,1.0,53,25.36,928.0,51
3803759,WILDCAT RESERVOIR,7200646,GRAND VALLEY PROJECT,11.334,3.17,2280.0,38,61.8,2313.7,72
5304045,RED DIRT POND NO 2,5300584,SHOSHONE POWER PLANT,133.0,3.17,1.0,53,147.54,1408.0,53
5304045,RED DIRT POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.17,1.0,53,0.85,550.0,51
4503611,KCC RESERVOIR NO 1,4500725,PORTER DITCH,4.0,3.18,0.46,45,7.94,62.5,45
4503611,KCC RESERVOIR NO 1,4500704,MULTA-TRINA DITCH,10.0,3.18,0.46,45,1.74,49.75,45
5304014,GEORGE A GATES RES NO 2,5104655,MOFFAT WATER TUNNEL,3.0,3.18,18.0,53,25.36,928.0,51
5304014,GEORGE A GATES RES NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.18,18.0,53,0.85,550.0,51
4503611,KCC RESERVOIR NO 1,4500810,WARD AND REYNOLDS DITCH,17.0,3.18,0.46,45,1.82,9.92,45
5304014,GEORGE A GATES RES NO 2,5300584,SHOSHONE POWER PLANT,133.0,3.18,18.0,53,147.54,1408.0,53
4503611,KCC RESERVOIR NO 1,4500693,MINEOTA DITCH,49.667,3.18,0.46,45,3.19,23.53,45
5104021,MEADOW SPRINGS RESERVOIR,5104655,MOFFAT WATER TUNNEL,6.0,3.19,2.21,51,25.36,928.0,51
5104021,MEADOW SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,266.0,3.19,2.21,51,147.54,1408.0,53
5104021,MEADOW SPRINGS RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,10.0,3.19,2.21,51,0.85,550.0,51
3703723,KNAPP POND NO 1,5300584,SHOSHONE POWER PLANT,133.0,3.2,1.26,37,147.54,1408.0,53
3703880,UBRUCR RES 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.2,0.1,37,0.85,550.0,51
3703554,MIN LAKE HUNKY DORY,5104655,MOFFAT WATER TUNNEL,3.0,3.2,40.0,37,25.36,928.0,51
3703880,UBRUCR RES 2,5300584,SHOSHONE POWER PLANT,133.0,3.2,0.1,37,147.54,1408.0,53
3703554,MIN LAKE HUNKY DORY,5300584,SHOSHONE POWER PLANT,133.0,3.2,40.0,37,147.54,1408.0,53
3703723,KNAPP POND NO 1,5104655,MOFFAT WATER TUNNEL,3.0,3.2,1.26,37,25.36,928.0,51
3703723,KNAPP POND NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.2,1.26,37,0.85,550.0,51
3703880,UBRUCR RES 2,5104655,MOFFAT WATER TUNNEL,3.0,3.2,0.1,37,25.36,928.0,51
3703554,MIN LAKE HUNKY DORY,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.2,40.0,37,0.85,550.0,51
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5104655,MOFFAT WATER TUNNEL,6.0,3.21,96.4,50,25.36,928.0,51
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5104634,CBT ALVA B ADAMS TUNNEL,10.0,3.21,96.4,50,0.85,550.0,51
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,392.0,3.21,96.4,50,147.54,1408.0,53
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,3.21,96.4,50,3.21,96.4,50
5102047,MIN LEVEL PAWNEE LAKE,5104655,MOFFAT WATER TUNNEL,3.0,3.22,242.0,51,25.36,928.0,51
5102047,MIN LEVEL PAWNEE LAKE,5104634,CBT ALVA B ADAMS TUNNEL,5.0,3.22,242.0,51,0.85,550.0,51
